,Heading,Sub_Heading,Closing,Notice_status,Contract_location,Contract_value,Publication_date,Procurement_stage,Approach_to_market_date
1129,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1130,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1131,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1132,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1133,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1134,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1135,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1136,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1137,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1138,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1139,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1140,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1141,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1142,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1143,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1144,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1145,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1146,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1147,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1148,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1149,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1150,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1151,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1152,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1153,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1154,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1155,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1156,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1157,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1158,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1159,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1160,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1161,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1162,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1163,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1164,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1165,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1166,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1167,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1168,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1169,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1170,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1171,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1172,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1173,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1174,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1175,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1176,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1177,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1178,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1179,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1180,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1181,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1182,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1183,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1184,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1185,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1186,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1187,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1188,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1189,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1190,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1191,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1192,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1193,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1194,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1195,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1196,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1197,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1198,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1199,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1200,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1201,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1202,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1203,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1204,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1205,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1206,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1207,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1208,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1209,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1210,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1211,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1212,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1213,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1214,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1215,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1216,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1217,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1218,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1219,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1220,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1221,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1222,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1223,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1224,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1225,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1226,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1227,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1228,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1229,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1230,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1231,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1232,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1233,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1234,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1235,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1236,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1237,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1238,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1239,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1240,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1241,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1242,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1243,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1244,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1245,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1246,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1247,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1248,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1249,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1250,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1251,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1252,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1253,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1254,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1255,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1256,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1257,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1258,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1259,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1260,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1261,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1262,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
1263,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
1264,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
1265,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
1266,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
1267,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
1268,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
1269,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
1270,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
1271,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
1272,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
1273,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
1274,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
1275,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
1276,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
1277,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
1278,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
1279,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
1280,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
1281,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
1282,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
